Value, Probability
1, 0
2, 1.88e-06
3, 8.25e-06
4, 1.855e-05
5, 3.162e-05
6, 4.914e-05
7, 7.092e-05
8, 9.406e-05
9, 0.00012319
10, 0.00015787
11, 0.00019214
12, 0.00023122
13, 0.00027792
14, 0.00032119
15, 0.0003763
16, 0.00042692
17, 0.00048572
18, 0.00054883
19, 0.00060964
20, 0.00067607
21, 0.00074705
22, 0.00081854
23, 0.00090193
24, 0.00098268
25, 0.00106259
26, 0.00114315
27, 0.00123089
28, 0.00132559
29, 0.0014318
30, 0.00152073
31, 0.001623
32, 0.00171824
33, 0.00182492
34, 0.00193714
35, 0.00205873
36, 0.00216805
37, 0.00228023
38, 0.00240566
39, 0.002522
40, 0.00265539
41, 0.00277746
42, 0.00290468
43, 0.00303338
44, 0.00317239
45, 0.00330125
46, 0.0034423
47, 0.00358406
48, 0.00373621
49, 0.00387448
50, 0.00402223
51, 0.00416031
52, 0.00431754
53, 0.00447004
54, 0.00462784
55, 0.00478543
56, 0.0049413
57, 0.00511109
58, 0.0052637
59, 0.00543681
60, 0.00558844
61, 0.00575845
62, 0.00592547
63, 0.00611214
64, 0.0062764
65, 0.00644844
66, 0.00661927
67, 0.00678707
68, 0.00697017
69, 0.00714232
70, 0.00732897
71, 0.00752418
72, 0.00769193
73, 0.00788474
74, 0.00805201
75, 0.00824673
76, 0.00844091
77, 0.00860873
78, 0.00880694
79, 0.00900221
80, 0.00919285
81, 0.00939173
82, 0.00956991
83, 0.00976864
84, 0.00995955
85, 0.0101656
86, 0.0103589
87, 0.0105358
88, 0.0107627
89, 0.010939
90, 0.0111375
91, 0.0113362
92, 0.0115466
93, 0.0117167
94, 0.0119405
95, 0.0121193
96, 0.0123384
97, 0.0125283
98, 0.0127367
99, 0.0129469
100, 0.0131301
101, 0.0133185
102, 0.0131288
103, 0.0129497
104, 0.0127227
105, 0.0125438
106, 0.0123413
107, 0.012141
108, 0.0119387
109, 0.0117404
110, 0.0115226
111, 0.0113438
112, 0.0111341
113, 0.010932
114, 0.0107432
115, 0.0105367
116, 0.010364
117, 0.0101582
118, 0.00996818
119, 0.00977505
120, 0.00959098
121, 0.00936993
122, 0.00919618
123, 0.00900064
124, 0.00879935
125, 0.00863288
126, 0.0084544
127, 0.00825172
128, 0.00807511
129, 0.00787651
130, 0.00769499
131, 0.0075069
132, 0.00733137
133, 0.00714421
134, 0.00698095
135, 0.00680214
136, 0.00662584
137, 0.00645008
138, 0.00626632
139, 0.00608083
140, 0.00593029
141, 0.00575868
142, 0.00560084
143, 0.00542417
144, 0.00526144
145, 0.00510307
146, 0.00493881
147, 0.00478313
148, 0.00462187
149, 0.00447377
150, 0.00431906
151, 0.00416537
152, 0.00400485
153, 0.00387113
154, 0.00372381
155, 0.00357868
156, 0.003438
157, 0.00329343
158, 0.0031732
159, 0.00303968
160, 0.0029065
161, 0.00277235
162, 0.00264835
163, 0.00252439
164, 0.00240008
165, 0.00228225
166, 0.00216562
167, 0.00204451
168, 0.0019425
169, 0.00183425
170, 0.00172297
171, 0.00162385
172, 0.00151963
173, 0.00142787
174, 0.00132874
175, 0.00123181
176, 0.00114613
177, 0.00105855
178, 0.0009739
179, 0.00089886
180, 0.00082095
181, 0.00074475
182, 0.00067879
183, 0.00061095
184, 0.00054542
185, 0.00048095
186, 0.00043009
187, 0.00037508
188, 0.00032236
189, 0.00027463
190, 0.00023206
191, 0.00019447
192, 0.0001588
193, 0.00012319
194, 9.424e-05
195, 7.054e-05
196, 4.994e-05
197, 3.123e-05
198, 1.819e-05
199, 8.09e-06
200, 2.29e-06
